Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-01 00:00:00-04:00,59.95203639370931,60.49196983783779,58.15955681769679,58.59247589111328,176218400,0.0,0.0
2020-04-02 00:00:00-04:00,58.45384679162058,59.623701433553855,57.61719297312728,59.570194244384766,165934000,0.0,0.0
2020-04-03 00:00:00-04:00,59.05215073913677,59.757467355962625,58.12064397383249,58.71408462524414,129880000,0.0,0.0
2020-04-06 00:00:00-04:00,61.02217704791052,63.99180749211314,60.65249573679247,63.83615493774414,201820400,0.0,0.0
2020-04-07 00:00:00-04:00,65.86211487907978,66.0810126413584,62.9922028162092,63.09678268432617,202887200,0.0,0.0
2020-04-08 00:00:00-04:00,63.90181186370111,65.02788978082967,63.53456510487803,64.71171569824219,168895200,0.0,0.0
2020-04-09 00:00:00-04:00,65.35135942628331,65.68456016780985,64.37850707857399,65.17867279052734,161834800,0.0,0.0
2020-04-13 00:00:00-04:00,65.25651901129085,66.56744143899533,64.65334773347743,66.45799255371094,131022800,0.0,0.0
2020-04-14 00:00:00-04:00,68.09967389087922,70.10618213944976,67.62540533594328,69.81432342529297,194994800,0.0,0.0
2020-04-15 00:00:00-04:00,68.68338640778153,69.63921222706033,68.25290183982464,69.17710876464844,131154400,0.0,0.0
2020-04-16 00:00:00-04:00,69.89458613668934,70.09402267222248,68.67122446582303,69.72676849365234,157125200,0.0,0.0
2020-04-17 00:00:00-04:00,69.24035422459711,69.79001833426366,67.33599104978904,68.78067779541016,215250000,0.0,0.0
2020-04-20 00:00:00-04:00,67.6010865768608,68.50826672265677,67.33355067265853,67.3530044555664,130015200,0.0,0.0
2020-04-21 00:00:00-04:00,67.19493525651451,67.43085233162626,64.55607084041566,65.2711181640625,180991600,0.0,0.0
2020-04-22 00:00:00-04:00,66.54554020090646,67.58892659530838,66.2026162230003,67.1511459350586,116862400,0.0,0.0
2020-04-23 00:00:00-04:00,67.09520542747022,68.5252998288539,66.85199229586826,66.89090728759766,124814400,0.0,0.0
2020-04-24 00:00:00-04:00,67.41868435976647,68.83175208806547,67.37003876358999,68.822021484375,126161200,0.0,0.0
2020-04-27 00:00:00-04:00,68.53745068272923,69.2038596440192,68.08751237194905,68.87065887451172,117087600,0.0,0.0
2020-04-28 00:00:00-04:00,69.3352115704872,69.51762145938582,67.66191109103693,67.75432586669922,112004800,0.0,0.0
2020-04-29 00:00:00-04:00,69.25010428193305,70.45157820818108,69.04580606344227,69.97974395751953,137280800,0.0,0.0
